src,id,k,sStar,wtU,wtV,lenU,lenV
oracle,t4032,4,8,8,8,7.464102,7.464102
oracle,t4033,4,8,8,8,7.209769,7.209769
oracle,t4034,4,7,7,7,6.464102,6.464102
oracle,t4035,4,7,7,7,6.464102,6.464102
oracle,t4036,4,5,4,5,3.732051,4.732051
oracle,t4037,4,6,4,6,3.732051,5.554854
oracle,t4038,4,8,1,8,1.000000,7.881901
oracle,t4039,4,7,2,7,2.000000,6.805917
oracle,t4040,4,7,2,7,2.000000,6.732051
oracle,t4041,4,8,1,8,1.000000,7.732051
oracle,t4042,4,7,1,7,1.000000,6.732051
oracle,t4043,4,8,1,8,1.000000,7.614510
oracle,t4044,4,8,2,8,2.000000,7.530791
oracle,t4045,4,8,2,8,2.000000,7.464102
oracle,t4046,4,7,2,7,2.000000,6.540995
oracle,t4047,4,7,2,7,2.000000,6.464102
oracle,t4048,4,8,2,8,2.000000,7.464102
oracle,t4049,4,8,2,8,2.000000,7.530791
oracle,t4050,4,7,2,7,2.000000,6.464102
oracle,t4051,4,7,2,7,2.000000,6.540995
oracle,t4052,4,7,1,7,1.000000,6.732051
oracle,t4053,4,8,1,8,1.000000,7.614510
oracle,t4054,4,8,1,8,1.000000,7.464102
oracle,t4055,4,7,1,7,1.000000,6.464102
oracle,t4056,4,8,1,8,1.000000,7.347160
oracle,t4057,4,4,4,4,3.898224,3.898224
oracle,t4058,4,7,1,7,1.000000,6.884207
oracle,t4059,4,6,2,6,2.000000,5.818626
oracle,t4060,4,6,2,6,2.000000,5.732051
oracle,t4061,4,7,1,7,1.000000,6.732051
oracle,t4062,4,6,1,6,1.000000,5.732051
oracle,t4063,4,7,1,7,1.000000,6.616994
oracle,t4064,4,7,2,7,2.000000,6.540995
oracle,t4065,4,7,2,7,2.000000,6.464102
oracle,t4066,4,6,2,6,2.000000,5.554854
oracle,t4067,4,6,2,6,2.000000,5.464102
oracle,t4068,4,7,2,7,2.000000,6.464102
oracle,t4069,4,7,2,7,2.000000,6.540995
oracle,t4070,4,6,2,6,2.000000,5.464102
oracle,t4071,4,6,2,6,2.000000,5.554854
oracle,t4072,4,7,1,7,1.000000,6.616994
oracle,t4073,4,7,1,7,1.000000,6.464102
oracle,t4074,4,6,1,6,1.000000,5.464102
oracle,t4075,4,7,1,7,1.000000,6.349843
oracle,t4076,4,8,1,8,1.000000,7.614510
oracle,t4077,4,7,1,7,1.000000,6.616994
oracle,t4078,4,8,1,8,1.000000,7.464102
oracle,t4079,4,6,6,6,4.760279,4.760279
oracle,t4080,4,6,6,6,5.277917,5.277917
oracle,t4081,4,5,5,5,4.732051,4.732051
oracle,t4082,4,4,4,4,3.863703,3.863703
oracle,t4083,4,7,7,7,6.732051,6.732051
oracle,t4084,4,6,6,6,5.464102,5.464102
oracle,t4085,4,4,4,4,3.632651,3.632651
oracle,t4086,4,7,2,7,2.000000,6.276329
oracle,t4087,4,7,2,7,2.000000,6.276329
oracle,t4088,4,7,2,7,2.000000,6.196152
oracle,t4089,4,7,2,7,2.000000,6.196152
oracle,t4090,4,7,2,7,2.000000,6.196152
oracle,t4091,4,7,2,7,2.000000,6.276329
oracle,t4092,4,6,2,6,2.000000,5.554854
oracle,t4093,4,5,3,5,2.732051,4.574735
oracle,t4094,4,7,7,7,6.732051,6.732051
oracle,t4095,4,7,7,7,6.196152,6.196152
oracle,t4096,4,4,3,4,2.732051,4.000000
oracle,t4097,4,5,3,5,2.732051,4.574735
oracle,t4098,4,4,4,4,3.385868,3.385868
oracle,t4099,4,3,3,3,2.909313,3.000000
oracle,t4100,4,6,6,6,5.732051,5.732051
oracle,t4101,4,6,6,6,5.464102,5.464102
oracle,t4102,4,7,7,7,6.464102,6.464102
oracle,t4103,4,6,6,6,5.732051,5.732051
oracle,t4104,4,6,6,6,5.464102,5.464102
oracle,t4105,4,6,6,6,5.464102,5.464102
oracle,t4106,4,4,3,4,2.732051,3.732051
oracle,t4107,4,6,6,6,5.277917,5.277917
oracle,t4108,4,7,7,7,6.464102,6.464102
oracle,t4109,4,5,3,5,3.000000,4.582576
oracle,t4110,4,6,6,6,6.000000,6.000000
oracle,t4111,4,5,5,5,5.000000,5.000000
oracle,t4112,4,3,3,3,2.645751,3.000000
oracle,t4113,4,6,3,6,3.000000,5.196152
oracle,t4114,4,6,2,6,2.000000,5.196152
oracle,t4115,4,6,2,6,2.000000,5.291503
oracle,t4116,4,5,2,5,2.000000,4.358899
oracle,t4117,4,6,2,6,2.000000,5.291503
oracle,t4118,4,6,6,6,5.196152,5.196152
oracle,t4119,4,6,6,6,5.567764,5.567764
oracle,t4120,4,5,4,5,3.464102,5.000000
oracle,t4121,4,5,2,5,1.732051,4.582576
oracle,t4122,4,4,2,4,1.732051,4.000000
oracle,t4123,4,5,2,5,1.732051,4.582576
oracle,t4124,4,6,2,6,2.000000,5.196152
oracle,t4125,4,10,2,10,2.000000,8.660254
oracle,t4126,4,5,2,5,2.000000,4.464102
oracle,t4127,4,5,2,5,2.000000,4.574735
oracle,t4128,4,4,2,4,2.000000,3.464102
oracle,t4129,4,4,3,4,3.000000,3.464102
oracle,t4130,4,7,7,7,6.732051,6.732051
oracle,t4131,4,7,7,7,6.464102,6.464102
oracle,t4132,4,5,5,5,4.625182,4.625182
oracle,t4133,4,7,1,7,1.000000,6.464102
oracle,t4134,4,8,1,8,1.000000,7.347160
oracle,t4135,4,8,1,8,1.000000,7.347160
oracle,t4136,4,7,1,7,1.000000,6.196152
oracle,t4137,4,8,1,8,1.000000,7.079856
oracle,t4138,4,5,5,5,4.732051,4.732051
oracle,t4139,4,7,1,7,1.000000,6.349843
oracle,t4140,4,8,1,8,1.000000,7.196152
oracle,t4141,4,7,1,7,1.000000,6.349843
oracle,t4142,4,8,2,8,1.931852,7.727407
oracle,t4143,4,4,2,4,1.931852,3.898224
oracle,t4144,4,8,2,8,1.931852,7.727407
oracle,t4145,4,3,3,3,2.909313,2.909313
oracle,t4146,4,5,5,5,4.464102,4.464102
oracle,t4147,4,4,3,4,2.732051,3.632651
oracle,t4148,4,5,5,5,4.582576,4.582576
oracle,t4149,4,5,5,5,5.000000,5.000000
oracle,t4150,4,5,5,5,4.582576,4.582576
oracle,t4151,4,3,3,3,2.645751,3.000000
oracle,t5001,5,8,3,8,3.000000,7.219720
oracle,t5002,5,7,3,7,3.000000,6.244998
oracle,t5003,5,8,3,8,3.000000,6.928203
oracle,t5004,5,7,2,7,1.732051,6.557439
oracle,t5005,5,7,2,7,1.732051,7.000000
oracle,t5006,5,8,3,8,3.000000,6.928203
oracle,t5007,5,7,3,7,3.000000,6.244998
oracle,t5008,5,8,8,8,6.928203,6.928203
oracle,t5009,5,7,7,7,7.000000,7.000000
oracle,t5010,5,7,7,7,6.244998,6.244998
oracle,t5011,5,6,6,6,6.000000,6.000000
oracle,t5012,5,7,7,7,6.082763,6.082763
oracle,t5013,5,7,2,7,1.732051,6.557439
oracle,t5014,5,6,2,6,1.732051,5.567764
oracle,t5015,5,6,2,6,1.732051,6.000000
oracle,t5016,5,7,3,7,3.000000,6.196152
oracle,t5017,5,6,3,6,3.000000,5.196152
oracle,t5018,5,7,3,7,3.000000,6.244998
oracle,t5019,5,7,2,7,1.732051,7.000000
oracle,t5020,5,6,2,6,1.732051,6.000000
oracle,t5021,5,7,2,7,1.732051,6.557439
oracle,t5022,5,7,3,7,3.000000,6.244998
oracle,t5023,5,6,3,6,3.000000,5.196152
oracle,t5024,5,5,4,5,3.464102,4.358899
oracle,t5025,5,7,7,7,7.000000,7.000000
oracle,t5026,5,5,5,5,4.358899,4.358899
oracle,t5027,5,4,3,4,3.000000,3.605551
oracle,t5028,5,5,5,5,5.000000,5.000000
oracle,t5029,5,5,5,5,4.464102,4.464102
oracle,t5030,5,6,6,6,5.196152,5.196152
oracle,t5031,5,4,4,4,3.464102,4.000000
oracle,t5032,5,10,10,10,9.464102,9.464102
oracle,t5033,5,9,9,9,8.196152,8.196152
oracle,t5034,5,9,9,9,8.732051,8.732051
oracle,t5035,5,8,8,8,7.732051,7.732051
oracle,t5036,5,9,9,9,8.196152,8.196152
oracle,t5037,5,9,9,9,8.196152,8.196152
oracle,t5038,5,9,9,9,8.196152,8.196152
oracle,t5039,5,6,5,6,4.732051,5.464102
oracle,t5040,5,10,10,10,9.464102,9.464102
oracle,t5041,5,10,10,10,9.464102,9.464102
oracle,t5042,5,10,10,10,9.464102,9.464102
oracle,t5043,5,6,4,6,3.732051,5.464102
oracle,t5044,5,8,4,8,3.732051,7.209769
oracle,t5045,5,8,4,8,3.732051,7.464102
oracle,t5046,5,8,8,8,7.464102,7.464102
oracle,t5047,5,8,8,8,7.464102,7.464102
oracle,t5048,5,6,4,6,3.732051,5.732051
oracle,t5049,5,7,4,7,3.732051,6.505421
oracle,t5050,5,10,1,10,1.000000,9.878687
oracle,t5051,5,9,2,9,2.000000,8.789125
oracle,t5052,5,9,2,9,2.000000,8.732051
oracle,t5053,5,10,1,10,1.000000,9.732051
oracle,t5054,5,9,1,9,1.000000,8.732051
oracle,t5055,5,10,1,10,1.000000,9.611091
oracle,t5056,5,10,2,10,2.000000,9.516786
oracle,t5057,5,10,2,10,2.000000,9.464102
oracle,t5058,5,9,2,9,2.000000,8.522970
oracle,t5059,5,9,2,9,2.000000,8.464102
oracle,t5060,5,10,2,10,2.000000,9.464102
oracle,t5061,5,10,2,10,2.000000,9.516786
oracle,t5062,5,9,2,9,2.000000,8.464102
oracle,t5063,5,9,2,9,2.000000,8.522970
oracle,t5064,5,9,1,9,1.000000,8.732051
oracle,t5065,5,10,1,10,1.000000,9.732051
oracle,t5066,5,10,1,10,1.000000,9.611091
oracle,t5067,5,10,1,10,1.000000,9.464102
oracle,t5068,5,9,1,9,1.000000,8.464102
oracle,t5069,5,10,1,10,1.000000,9.343515
oracle,t5070,5,9,2,9,2.000000,8.522970
oracle,t5071,5,9,2,9,2.000000,8.464102
oracle,t5072,5,10,2,10,2.000000,9.516786
oracle,t5073,5,9,2,9,2.000000,8.256931
oracle,t5074,5,9,2,9,2.000000,8.256931
oracle,t5075,5,9,2,9,2.000000,8.196152
oracle,t5076,5,9,2,9,2.000000,8.464102
oracle,t5077,5,9,2,9,2.000000,8.522970
oracle,t5078,5,9,2,9,2.000000,8.196152
oracle,t5079,5,9,2,9,2.000000,8.196152
oracle,t5080,5,9,2,9,2.000000,8.256931
oracle,t5081,5,9,1,9,1.000000,8.732051
oracle,t5082,5,10,1,10,1.000000,9.611091
oracle,t5083,5,10,1,10,1.000000,9.464102
oracle,t5084,5,9,1,9,1.000000,8.464102
oracle,t5085,5,10,1,10,1.000000,9.343515
oracle,t5086,5,9,1,9,1.000000,8.464102
oracle,t5087,5,10,1,10,1.000000,9.343515
oracle,t5088,5,10,1,10,1.000000,9.196152
oracle,t5089,5,9,1,9,1.000000,8.196152
oracle,t5090,5,10,1,10,1.000000,9.075961
oracle,t5091,5,6,3,6,3.000000,5.795555
oracle,t5092,5,5,3,5,3.000000,4.732051
oracle,t5093,5,6,6,6,5.795555,5.795555
oracle,t5094,5,6,6,6,5.732051,5.732051
oracle,t5095,5,9,1,9,1.000000,8.880113
oracle,t5096,5,8,2,8,2.000000,7.796449
oracle,t5097,5,8,2,8,2.000000,7.732051
oracle,t5098,5,9,1,9,1.000000,8.732051
oracle,t5099,5,8,1,8,1.000000,7.732051
oracle,t5100,5,9,1,9,1.000000,8.612602
oracle,t5101,5,9,2,9,2.000000,8.522970
oracle,t5102,5,9,2,9,2.000000,8.464102
oracle,t5103,5,8,2,8,2.000000,7.530791
oracle,t5104,5,8,2,8,2.000000,7.464102
oracle,t5105,5,9,2,9,2.000000,8.464102
oracle,t5106,5,9,2,9,2.000000,8.522970
oracle,t5107,5,8,2,8,2.000000,7.464102
oracle,t5108,5,8,2,8,2.000000,7.530791
oracle,t5109,5,8,1,8,1.000000,7.732051
oracle,t5110,5,9,1,9,1.000000,8.612602
oracle,t5111,5,9,1,9,1.000000,8.464102
oracle,t5112,5,8,1,8,1.000000,7.464102
oracle,t5113,5,9,1,9,1.000000,8.345119
oracle,t5114,5,10,1,10,1.000000,9.611091
oracle,t5115,5,9,1,9,1.000000,8.612602
oracle,t5116,5,10,1,10,1.000000,9.464102
oracle,t5117,5,8,2,8,2.000000,7.530791
oracle,t5118,5,8,2,8,2.000000,7.265302
oracle,t5119,5,8,2,8,2.000000,7.265302
oracle,t5120,5,8,2,8,2.000000,7.196152
oracle,t5121,5,8,2,8,2.000000,7.196152
oracle,t5122,5,8,2,8,2.000000,7.196152
oracle,t5123,5,8,2,8,2.000000,7.265302
oracle,t5124,5,8,2,8,2.000000,7.530791
oracle,t5125,5,5,4,5,4.000000,4.234171
oracle,t5126,5,5,3,5,3.000000,4.836559
oracle,t5127,5,4,3,4,3.000000,3.732051
oracle,t5128,5,7,7,7,6.464102,6.464102
oracle,t5129,5,9,1,9,1.000000,8.464102
oracle,t5130,5,8,1,8,1.000000,7.464102
oracle,t5131,5,9,1,9,1.000000,8.345119
oracle,t5132,5,9,1,9,1.000000,8.345119
oracle,t5133,5,9,1,9,1.000000,8.196152
oracle,t5134,5,8,1,8,1.000000,7.196152
oracle,t5135,5,9,1,9,1.000000,8.077667
oracle,t5136,5,10,1,10,1.000000,9.464102
oracle,t5137,5,10,1,10,1.000000,9.343515
oracle,t5138,5,9,1,9,1.000000,8.345119
oracle,t5139,5,10,1,10,1.000000,9.196152
oracle,t5140,5,9,1,9,1.000000,8.464102
oracle,t5141,5,10,1,10,1.000000,9.343515
oracle,t5142,5,9,1,9,1.000000,8.345119
oracle,t5143,5,6,2,6,2.000000,5.554854
oracle,t5144,5,6,6,6,5.277917,5.277917
oracle,t5145,5,6,6,6,5.464102,5.464102
oracle,t5146,5,5,5,5,4.732051,4.732051
oracle,t5147,5,8,8,8,7.732051,7.732051
oracle,t5148,5,8,8,8,7.196152,7.196152
oracle,t5149,5,7,7,7,6.732051,6.732051
oracle,t5150,5,4,4,4,3.898224,3.898224
oracle,t5151,5,9,9,9,8.196152,8.196152
oracle,t5152,5,5,5,5,4.319752,4.319752
oracle,t5153,5,7,7,7,6.196152,6.196152
oracle,t5154,5,6,3,6,3.000000,5.464102
oracle,t5155,5,4,3,4,3.000000,3.632651
oracle,t5156,5,8,3,8,3.000000,7.196152
oracle,t5157,5,8,8,8,7.732051,7.732051
oracle,t5158,5,8,8,8,7.196152,7.196152
oracle,t5159,5,9,2,9,2.000000,8.256931
oracle,t5160,5,9,2,9,2.000000,8.196152
oracle,t5161,5,10,2,10,2.000000,8.984031
oracle,t5162,5,9,2,9,2.000000,7.991020
oracle,t5163,5,9,2,9,2.000000,7.928203
oracle,t5164,5,10,2,10,2.000000,8.984031
oracle,t5165,5,9,2,9,2.000000,7.991020
oracle,t5166,5,9,2,9,2.000000,7.928203
oracle,t5167,5,8,2,8,2.000000,7.265302
oracle,t5168,5,8,2,8,2.000000,7.196152
oracle,t5169,5,7,2,7,2.000000,6.276329
oracle,t5170,5,9,2,9,2.000000,8.196152
oracle,t5171,5,9,2,9,2.000000,8.256931
oracle,t5172,5,9,2,9,2.000000,7.928203
oracle,t5173,5,9,2,9,2.000000,7.991020
oracle,t5174,5,9,2,9,2.000000,7.928203
oracle,t5175,5,9,2,9,2.000000,7.991020
oracle,t5176,5,8,2,8,2.000000,7.196152
oracle,t5177,5,8,2,8,2.000000,7.265302
oracle,t5178,5,7,2,7,2.000000,6.196152
oracle,t5179,5,7,3,7,2.732051,6.510937
oracle,t5180,5,8,2,8,2.000000,7.196152
oracle,t5181,5,8,2,8,2.000000,7.265302
oracle,t5182,5,8,2,8,2.000000,7.196152
oracle,t5183,5,8,2,8,2.000000,7.265302
oracle,t5184,5,7,2,7,2.000000,6.464102
oracle,t5185,5,7,2,7,2.000000,6.540995
oracle,t5186,5,6,2,6,2.000000,5.464102
oracle,t5187,5,8,2,8,2.000000,7.265302
oracle,t5188,5,8,2,8,2.000000,7.196152
oracle,t5189,5,6,2,6,2.000000,5.353527
oracle,t5190,5,5,3,5,2.732051,5.000000
oracle,t5191,5,12,2,12,2.000000,10.660254
oracle,t5192,5,12,2,12,2.000000,10.660254
oracle,t5193,5,6,2,6,2.000000,5.353527
oracle,t5194,5,10,2,10,2.000000,9.196152
oracle,t5195,5,5,2,5,2.000000,4.625182
oracle,t5196,5,7,7,7,6.732051,6.732051
oracle,t5197,5,7,7,7,6.196152,6.196152
oracle,t5198,5,5,3,5,2.732051,5.000000
oracle,t5199,5,5,3,5,3.000000,4.464102
oracle,t5200,5,6,3,6,3.000000,5.537170
oracle,t5201,5,5,5,5,4.381341,4.381341
oracle,t5202,5,5,4,5,4.000000,4.891646
oracle,t5203,5,5,4,5,4.000000,4.464102
oracle,t5204,5,5,3,5,3.000000,4.836559
oracle,t5205,5,6,3,6,3.000000,5.464102
oracle,t5206,5,6,3,6,2.732051,5.537170
oracle,t5207,5,9,9,9,8.196152,8.196152
oracle,t5208,5,7,7,7,6.732051,6.732051
oracle,t5209,5,7,7,7,6.464102,6.464102
oracle,t5210,5,7,7,7,6.464102,6.464102
oracle,t5211,5,9,9,9,8.196152,8.196152
oracle,t5212,5,7,7,7,6.464102,6.464102
oracle,t5213,5,9,9,9,8.196152,8.196152
oracle,t5214,5,7,7,7,6.732051,6.732051
oracle,t5215,5,7,7,7,6.464102,6.464102
oracle,t5216,5,7,7,7,6.464102,6.464102
oracle,t5217,5,8,8,8,7.464102,7.464102
oracle,t5218,5,5,3,5,2.732051,4.732051
oracle,t5219,5,6,3,6,2.732051,5.277917
oracle,t5220,5,5,4,5,3.732051,4.625182
oracle,t5221,5,4,4,4,3.732051,3.732051
oracle,t5222,5,5,4,5,3.732051,4.625182
oracle,t5223,5,8,8,8,7.464102,7.464102
oracle,t5224,5,6,3,6,3.000000,5.537170
oracle,t5225,5,5,3,5,3.000000,4.582576
oracle,t5226,5,6,3,6,3.000000,5.196152
oracle,t5227,5,6,6,6,6.000000,6.000000
oracle,t5228,5,5,5,5,5.000000,5.000000
oracle,t5229,5,6,6,6,5.196152,5.196152
oracle,t5230,5,6,6,6,5.291503,5.291503
oracle,t5231,5,6,6,6,5.567764,5.567764
oracle,t5232,5,6,6,6,5.196152,5.196152
oracle,t5233,5,5,3,5,2.645751,4.358899
oracle,t5234,5,4,3,4,3.000000,3.605551
oracle,t5235,5,7,7,7,6.244998,6.244998
oracle,t5236,5,5,5,5,4.358899,4.358899
oracle,t5237,5,8,3,8,3.000000,6.928203
oracle,t5238,5,8,2,8,2.000000,7.000000
oracle,t5239,5,8,2,8,2.000000,7.000000
oracle,t5240,5,7,2,7,2.000000,6.196152
oracle,t5241,5,7,2,7,2.000000,6.276329
oracle,t5242,5,6,2,6,2.000000,5.196152
oracle,t5243,5,7,2,7,1.732051,6.557439
oracle,t5244,5,8,2,8,2.000000,6.928203
oracle,t5245,5,8,2,8,2.000000,7.000000
oracle,t5246,5,6,6,6,5.567764,5.567764
oracle,t5247,5,5,4,5,3.464102,4.358899
oracle,t5248,5,4,4,4,3.464102,4.000000
oracle,t5249,5,7,7,7,6.082763,6.082763
oracle,t5250,5,4,3,4,2.645751,3.464102
oracle,t5251,5,4,3,4,2.645751,3.605551
oracle,t5252,5,4,4,4,4.000000,4.000000
