id,k,weight
ctrnact-04_346-3g_4e_4k_5c-1,4,6
ctrnact-04_346-4d_4h_4k_4r-1,4,6
ctrnact-04_346-4d_4h_4k_4s-1,4,6
ctrnact-04_346-4d_4h_4k_4u-1,4,7
ctrnact-04_346-4d_4h_4k_4u-2,4,7
ctrnact-04_346-4d_4k_4m_5e-1,4,4
ctrnact-04_346-4e_4f_4h_4k-1,4,7
ctrnact-04_346-4e_4f_4h_4k-2,4,7
ctrnact-04_346-4f_4h_4j_4k-1,4,7
ctrnact-04_346-4f_4h_4j_4k-2,4,7
ctrnact-04_346-4f_4k_4l_4m-1,4,5
ctrnact-04_346-4f_4k_4r_4u-1,4,6
ctrnact-04_346-4f_4k_4s_4u-1,4,6
ctrnact-04_346-4f_4k_4u2-1,4,7
ctrnact-04_346-4f_4k_4u2-2,4,7
ctrnact-04_346-4f_4k_5d_6i-1,4,6
ctrnact-04_346-4f_5b_5c2-1,4,5
ctrnact-04_346-4f_5b_5c2-2,4,5
ctrnact-04_346-4g_4h_4k_4r-1,4,6
ctrnact-04_346-4g_4h_4k_4s-1,4,6
ctrnact-04_346-4g_4h_4k_4u-1,4,7
ctrnact-04_346-4g_4h_4k_4u-2,4,7
ctrnact-04_346-4h_4i_4k_4l-1,4,7
ctrnact-04_346-4h_4k2_4l-1,4,7
ctrnact-04_346-4h_4k2_4r-1,4,7
ctrnact-04_346-4h_4k2_4r-2,4,7
ctrnact-04_346-4h_4k2_4s-1,4,7
ctrnact-04_346-4h_4k2_4s-2,4,7
ctrnact-04_346-4h_4k2_4u-4,4,8
ctrnact-04_346-4h_4k2_4u-5,4,8
ctrnact-04_346-4h_4k2_4u-6,4,8
ctrnact-04_346-4h_4k2_4u-7,4,8
ctrnact-04_346-4h_4k_4l_4m-1,4,7
ctrnact-04_346-4h_4k_5b_6i-1,4,7
ctrnact-04_346-4h_4k_5b_6i-2,4,7
ctrnact-04_346-4k2_4m_4o-1,4,6
ctrnact-04_346-4k2_5b_5d-1,4,3
ctrnact-04_346-4k_4l_5e_6a-1,4,6
ctrnact-04_346-4k_5a_5d_6f-1,4,4
ctrnact-04_346-4k_5a_5d_6f-2,4,4
ctrnact-04_346-4k_5a_5e_5f-1,4,5
ctrnact-04_346-4l_4m_5c_5f-1,4,7
ctrnact-04_346-4l_4m_5e2-1,4,4
ctrnact-04_346-4l_4m_5e_6a-1,4,6
ctrnact-04_346-4l_4m_5f2-1,4,6
ctrnact-04_346-4l_5c_5d_6i-1,4,6
ctrnact-04_346-4l_5c_5f_6i-1,4,6
ctrnact-04_346-4l_5d_5e_6f-1,4,6
ctrnact-04_346-4l_5e_5f_6f-1,4,6
ctrnact-04_346c-3a2_4a_4l-1,4,8
ctrnact-04_346c-3a2_4c_4l-1,4,8
ctrnact-04_346c-3c2_4k_4l-1,4,9
ctrnact-04_346c-3c2_4l_4m-1,4,9
ctrnact-04_346c-3c_4a_4c_4l-1,4,5
ctrnact-04_346c-3c_4d_4k_5e-1,4,8
ctrnact-04_346c-3c_4e_4k_5c-1,4,8
ctrnact-04_346c-3c_4k2_4m-1,4,9
ctrnact-04_346c-4c_4l2_5e-1,4,7
ctrnact-04_34c-3a_3b2_4c-1,4,8
ctrnact-04_34c-3a_4a_4c_5c-1,4,5
ctrnact-04_34c-3a_4a_4c_5d-1,4,6
ctrnact-04_34c-3a_4a_5e_6a-1,4,7
ctrnact-04_34c-3a_4c_5e_6a-1,4,7
ctrnact-04_34c-4a2_4c_5f-1,4,5
ctrnact-04_34c-4a_4b_4n_5c-1,4,5
ctrnact-04_34c-4a_5c_5f_6d-1,4,7
ctrnact-04_34c-4a_5d_6i2-1,4,7
ctrnact-04_36-3d_4d_4h_4i-1,4,6
ctrnact-04_36-3d_4d_5a_5b-1,4,4
ctrnact-04_36-3e_3g_4e_6b-1,4,5
ctrnact-04_36-3e_4e_4j_5b-1,4,4
ctrnact-04_36-3f2_4d_4f-1,4,5
ctrnact-04_36-3f2_4d_5a-1,4,6
ctrnact-04_36-3f2_4d_6a-1,4,6
ctrnact-04_36-3f2_4e_6d-1,4,6
ctrnact-04_36-3f_3g_4d_6a-1,4,6
ctrnact-04_36-3f_4d2_4i-1,4,6
ctrnact-04_36-3f_4d2_6c-1,4,6
ctrnact-04_36-3f_4d_4e_6f-2,4,4
ctrnact-04_36-3f_4d_4e_6f-3,4,6
ctrnact-04_36-3f_4d_5a_6f-1,4,5
ctrnact-04_36-3f_4d_5a_6h-1,4,5
ctrnact-04_36-3f_4e_4f_4j-1,4,4
ctrnact-04_36-3f_4e_5b_6i-1,4,5
ctrnact-04_36-3g_4d_4e_6f-1,4,5
ctrnact-04_36-3g_4e_4g_5b-1,4,6
ctrnact-04_36-3g_4e_5b2-1,4,6
ctrnact-04_36-3g_4e_5b_6i-7,4,6
ctrnact-04_36-4d2_4f_5a-1,4,5
ctrnact-04_36-4d2_4h_6a-1,4,5
ctrnact-04_36-4d_4f_4h_4j-1,4,6
ctrnact-04_36-4d_4h_5b_6i-1,4,6
ctrnact-04_36-4d_5a_6f_6h-1,4,4
ctrnact-04_36-4d_5a_6h2-1,4,5
ctrnact-04_36-4e2_4g_5b-1,4,6
ctrnact-04_36-4e2_4g_5b-7,4,3
ctrnact-04_36-4e2_5a_6i-1,4,5
ctrnact-04_36-4e_4f_4g_4h-1,4,6
ctrnact-04_36-4e_4h_4j_5b-1,4,6
ctrnact-04_36-4e_4j2_5b-1,4,6
ctrnact-04_36-4e_4j_5b2-1,4,5
ctrnact-04_36-4e_4j_5b2-3,4,5
ctrnact-04_36-4e_5a2_6i-1,4,6
ctrnact-04_36-4f_5b_6f2-1,4,4
ctrnact-04_36-4g_4h_5b_6i-1,4,6
ctrnact-04_36-4g_5a2_5b-1,4,4
ctrnact-04_36-4j2_5b2-1,4,10
ctrnact-04_36-5a_6h_6i2-1,4,5
ctrnact-04_36-5b2_6b_6j-1,4,5
ctrnact-04_36-5b3_6j-7,4,3
ctrnact-04_36-5b_6e_6j2-1,4,5
ctrnact-05_34-4o_5d2_5f_6i-1,5,6
ctrnact-05_34-4p2_4s_5c2-1,5,8
ctrnact-05_34-4p_4s2_5c2-1,5,9
ctrnact-05_34-4p_4s2_5c2-2,5,9
ctrnact-05_34-4p_4s2_5c2-3,5,9
ctrnact-05_34-4p_4s2_5c_6f-1,5,8
