id,k,lattice,group,orbifold
ctrnact-13_346-4e2_4j3_4k2_5b6-1,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k2_5b6-17,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k2_5b6-2,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k2_5b6-20,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k2_5b6-21,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k2_5b6-24,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k2_5b6-7,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k2_5b6-8,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k4_5b4-18,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k4_5b4-19,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k4_5b4-21,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k4_5b4-24,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k4_5b4-25,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k4_5b4-28,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k4_5b4-30,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k4_5b4-31,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k6_5b2-11,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k6_5b2-33,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k6_5b2-36,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k6_5b2-37,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j3_4k6_5b2-40,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k6_5b2-5,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k6_5b2-7,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j3_4k6_5b2-9,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j4_4k2_4u_5b4-1,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j4_4k2_4u_5b4-5,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j5_4k2_4u2_5b2-10,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j5_4k2_4u2_5b2-12,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j5_4k2_4u2_5b2-2,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j5_4k2_4u2_5b2-4,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j5_4k2_5b2_6j2-1,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j5_4k2_5b2_6j2-12,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j5_4k2_5b2_6j2-4,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j5_4k2_5b2_6j2-9,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j5_4k4_5d2-1,13,rectangular,pgg,22×
ctrnact-13_346-4e2_4j5_4k4_5d2-12,13,rectangular,pmg,22*
ctrnact-13_346-4e2_4j5_4k4_5d2-7,13,rectangular,pmg,22*
