id,k,ngon,octagon,wt_u,len_u,ratio_u,wt_v,len_v,ratio_v,required_c,required_c2
t3057,3,"3×14 4×6",0,4,3.732051,1.071797,4,3.732051,1.071797,1.071797,1.148748
t3018,3,"3×2 4×4 6×1",0,2,2.000000,1.000000,4,3.732051,1.071797,1.071797,1.148748
t3015,3,"3×6 4×3",0,1,1.000000,1.000000,6,5.620361,1.067547,1.067547,1.139657
t3006,3,"3×6 4×3 6×1 12×1",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3034,3,"3×12 4×9 6×2",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3036,3,"3×18 4×9 6×1",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3037,3,"3×18 4×9 6×1",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3012,3,"3×2 4×6 6×1",0,2,2.000000,1.000000,5,4.732051,1.056624,1.056624,1.116455
t3014,3,"3×4 4×3",0,1,1.000000,1.000000,5,4.732051,1.056624,1.056624,1.116455
t3019,3,"3×4 4×3",0,1,1.000000,1.000000,5,4.732051,1.056624,1.056624,1.116455
t3024,3,"3×12 4×9 6×2",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3047,3,"3×26 4×6 12×1",0,6,5.732051,1.046746,6,5.732051,1.046746,1.046746,1.095677
t3013,3,"3×4 4×4",0,1,1.000000,1.000000,6,5.732051,1.046746,1.046746,1.095677
t3005,3,"3×8 4×9 6×6 12×1",0,7,6.732051,1.039802,7,6.732051,1.039802,1.039802,1.081188
t3055,3,"3×6 4×3",0,2,1.931852,1.035276,3,2.909313,1.031171,1.035276,1.071797
t3053,3,"3×12 4×6",0,2,1.931852,1.035276,6,5.795555,1.035276,1.035276,1.071797
t3022,3,"3×4 4×8 6×2",0,4,3.863703,1.035276,4,3.863703,1.035276,1.035276,1.071797
t3017,3,"3×2 4×4 6×1",0,2,2.000000,1.000000,4,3.863703,1.035276,1.035276,1.071797
t3011,3,"3×2 4×6 6×1",0,2,2.000000,1.000000,5,4.836559,1.033793,1.033793,1.068728
t3025,3,"3×4 4×4 6×1",0,3,2.909313,1.031171,3,2.909313,1.031171,1.031171,1.063314
t3023,3,"3×8 4×5",0,3,2.909313,1.031171,3,2.909313,1.031171,1.031171,1.063314
t3027,3,"3×6 4×3 6×2",0,3,3.000000,1.000000,4,3.898224,1.026108,1.026108,1.052898
t3016,3,"3×2 4×4",0,1,1.000000,1.000000,5,4.891646,1.022151,1.022151,1.044792
t3010,3,"3×2 4×5",0,1,1.000000,1.000000,6,5.887296,1.019144,1.019144,1.038654
t3059,3,"3×26 6×1",0,4,4.000000,1.000000,4,4.000000,1.000000,1.000000,1.000000
t3042,3,"3×14 6×3",0,4,4.000000,1.000000,4,4.000000,1.000000,1.000000,1.000000
t3001,3,"3×8 6×7",0,5,5.000000,1.000000,5,5.000000,1.000000,1.000000,1.000000
