idx,name,verdict,reason,killDepth,collapses,promotions,frontier,ms
326,"[3,3,4,3,4;3,4,6,4;3,4,3,12]",survived,budget,-1,16,0,19,11213
327,"[3,3,4,3,4;3,4,6,4;3,4,3,12]",survived,timecap,-1,16,0,18,10357
328,"[3,3,4,3,4;3,4,3,12;3,4,6,4]",survived,timecap,-1,16,0,18,10201
329,"[3,12,12;3,4,3,12;3,3,4,3,4]",killed,entropy0,4,4,0,9,735
330,"[3,3,4,3,4;3,4,4,6;3,6,4,4]",killed,entropy0,4,4,0,10,920
331,"[3,3,4,3,4;3,4,4,6;3,6,4,4]",killed,entropy0,2,2,0,9,330
332,"[3,3,4,3,4;3,4,4,6;3,6,4,4]",killed,entropy0,5,5,0,11,1494
333,"[3,3,4,3,4;3,3,4,3,4;3,4,4,6]",killed,entropy0,4,4,0,10,1023
334,"[3,3,4,3,4;3,3,4,3,4;3,6,4,4]",killed,entropy0,4,4,0,10,1020
335,"[3,3,4,3,4;3,3,4,3,4;3,4,4,6]",killed,entropy0,4,4,0,10,866
336,"[3,3,4,3,4;3,4,6,4;3,4,4,6]",survived,wall,-1,4,0,10,1049
337,"[3,3,4,3,4;3,4,6,4;3,6,4,4]",survived,wall,-1,4,0,10,1056
338,"[3,3,4,3,4;3,4,6,4;3,6,4,4]",survived,wall,-1,4,0,10,1055
339,"[3,3,4,3,4;3,4,6,4;3,4,4,6]",survived,wall,-1,4,0,10,1014
340,"[3,3,4,3,4;3,4,4,6;3,4,6,4]",survived,wall,-1,2,0,10,497
341,"[3,3,4,3,4;3,4,6,4;3,6,4,4]",killed,entropy0,1,1,0,7,118
342,"[3,3,4,3,4;3,4,6,4;3,4,4,6]",survived,wall,-1,2,0,10,555
343,"[3,3,4,3,4;3,4,4,6;4,4,4,4]",killed,entropy0,1,1,0,7,153
344,"[3,3,4,3,4;3,4,4,6;4,12,6]",killed,entropy0,5,5,1,10,1579
345,"[3,3,4,3,4;3,4,6,4;3,4,6,4]",survived,wall,-1,11,0,20,5176
346,"[3,3,4,3,4;3,4,6,4;3,4,6,4]",survived,budget,-1,16,0,19,9785
347,"[3,3,4,3,4;3,4,6,4;3,4,6,4]",survived,wall,-1,5,0,13,860
348,"[3,3,4,3,4;3,4,6,4;3,4,6,4]",survived,wall,-1,5,0,13,862
349,"[3,3,4,3,4;3,4,6,4;3,4,6,4]",survived,wall,-1,15,0,19,7362
350,"[3,3,4,3,4;3,4,6,4;3,4,6,4]",survived,wall,-1,7,0,14,1521
351,"[3,3,4,3,4;3,4,6,4;3,4,6,4]",survived,wall,-1,7,0,14,1546
352,"[3,3,4,3,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,7,0,16,1891
353,"[3,3,4,3,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,9,0,17,3282
354,"[3,3,4,3,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,7,0,14,1720
355,"[3,3,4,3,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,7,0,14,1559
356,"[3,3,4,3,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,7,0,14,1546
357,"[3,3,4,3,4;3,4,6,4;3,3,4,3,4]",survived,wall,-1,5,0,13,796
358,"[3,3,4,3,4;3,4,6,4;3,3,4,3,4]",survived,wall,-1,9,0,16,2927
359,"[3,3,4,3,4;3,4,6,4;3,3,4,3,4]",survived,wall,-1,7,0,13,1642
360,"[3,3,4,3,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,7,0,14,1695
361,"[3,3,4,3,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,11,0,16,4238
362,"[3,3,4,3,4;3,4,6,4;4,6,12]",killed,entropy0,1,1,0,7,139
363,"[3,3,4,3,4;3,4,6,4;4,6,12]",survived,budget,-1,16,1,20,10580
364,"[3,3,12,4;3,4,3,12;3,3,12,4]",killed,surrounded-disallowed,3,3,0,6,276
365,"[3,3,12,4;3,4,3,12;3,3,4,12]",killed,surrounded-disallowed,3,3,0,6,301
366,"[3,3,12,4;3,4,3,12;3,3,4,12]",killed,surrounded-disallowed,3,3,0,6,425
367,"[3,3,12,4;3,4,3,12;3,3,4,12]",killed,entropy0,2,2,0,8,225
368,"[3,3,12,4;3,4,6,4;3,3,4,12]",killed,entropy0,1,1,0,7,80
369,"[3,12,12;3,3,12,4;3,3,4,12]",killed,entropy0,2,2,0,7,186
370,"[3,3,4,12;3,4,3,12;3,4,3,12]",killed,surrounded-disallowed,2,2,1,6,284
371,"[3,3,4,12;3,4,3,12;3,4,6,4]",killed,surrounded-disallowed,2,2,0,7,304
372,"[3,12,12;3,4,3,12;3,3,12,4]",survived,budget,-1,16,4,11,10794
373,"[3,12,12;3,4,3,12;3,3,12,4]",survived,timecap,-1,16,4,10,10683
374,"[3,3,4,12;3,4,3,12;4,6,12]",killed,entropy0,1,1,0,6,157
375,"[3,3,4,12;3,4,6,4;3,4,6,4]",killed,surrounded-disallowed,2,2,0,7,205
376,"[3,3,4,12;3,4,6,4;3,4,6,4]",killed,surrounded-disallowed,2,2,0,6,151
377,"[3,3,4,12;3,4,6,4;3,6,4,4]",killed,surrounded-disallowed,2,2,0,7,334
378,"[3,12,12;3,3,12,4;3,4,6,4]",survived,timecap,-1,16,4,11,10510
379,"[3,3,4,12;4,6,12;3,6,4,4]",killed,entropy0,1,1,0,6,143
380,"[3,12,12;3,3,12,4;3,12,12]",killed,entropy0,1,1,0,5,69
381,"[3,12,12;3,3,12,4;4,12,6]",killed,entropy0,2,2,0,6,186
382,"[3,3,4,12;4,6,12;4,12,6]",killed,entropy0,1,1,0,6,77
383,"[3,3,6,6;3,6,3,6;3,6,4,4]",survived,timecap,-1,15,0,16,10214
384,"[3,3,6,6;3,6,3,6;3,4,4,6]",survived,timecap,-1,16,0,17,10246
385,"[3,3,6,6;3,6,3,6;3,6,3,6]",survived,timecap,-1,16,1,22,11169
386,"[3,3,6,6;3,6,3,6;3,6,3,6]",survived,budget,-1,16,0,16,9101
387,"[3,3,6,6;3,6,3,6;3,6,3,6]",survived,budget,-1,16,0,16,9124
388,"[3,3,6,6;3,6,3,6;3,3,6,6]",survived,budget,-1,16,0,22,11056
389,"[3,3,6,6;3,6,3,6;3,3,6,6]",survived,budget,-1,16,0,22,10589
390,"[3,3,6,6;3,6,3,6;3,3,6,6]",survived,budget,-1,16,0,16,8647
391,"[3,3,6,6;3,6,3,6;3,3,6,6]",survived,budget,-1,16,0,16,8564
392,"[3,3,6,6;3,6,3,6;6,6,6]",survived,wall,-1,2,0,7,228
393,"[3,3,6,6;6,6,6;6,6,6]",killed,entropy0,1,1,0,7,40
394,"[3,3,6,6;6,6,6;3,3,6,6]",killed,entropy0,1,1,0,8,54
395,"[3,4,3,12;3,4,6,4;3,6,4,4]",killed,entropy0,2,2,0,8,276
396,"[3,4,3,12;3,4,6,4;3,4,4,6]",killed,entropy0,1,1,0,7,112
397,"[3,4,3,12;3,4,6,4;3,4,6,4]",killed,entropy0,2,2,0,8,144
398,"[3,4,3,12;3,4,6,4;3,4,6,4]",killed,entropy0,1,1,0,7,62
399,"[3,4,3,12;3,4,3,12;3,4,6,4]",killed,entropy0,2,2,0,7,129
400,"[3,4,3,12;3,4,3,12;3,4,6,4]",killed,entropy0,2,2,0,7,126
401,"[3,12,12;3,4,3,12;3,4,6,4]",survived,budget,-1,16,5,10,7656
402,"[3,12,12;3,4,3,12;3,12,12]",survived,wall,-1,6,3,8,782
403,"[3,12,12;3,4,3,12;3,12,12]",survived,wall,-1,6,3,8,809
404,"[3,12,12;3,4,3,12;3,4,3,12]",survived,wall,-1,6,3,8,784
405,"[3,12,12;3,4,3,12;3,4,3,12]",survived,wall,-1,6,3,8,835
406,"[3,4,4,6;3,4,6,4;3,4,6,4]",survived,wall,-1,1,0,8,168
407,"[3,4,4,6;3,4,6,4;3,4,6,4]",survived,wall,-1,3,0,8,431
408,"[3,4,4,6;3,4,6,4;3,4,6,4]",survived,wall,-1,3,0,8,422
409,"[3,4,4,6;3,4,6,4;3,4,6,4]",survived,wall,-1,6,0,10,1216
410,"[3,4,4,6;3,4,6,4;3,4,6,4]",survived,wall,-1,6,0,10,1412
411,"[3,4,4,6;3,4,6,4;3,4,6,4]",survived,wall,-1,2,0,10,339
412,"[3,4,4,6;3,6,4,4;3,4,6,4]",survived,wall,-1,0,0,6,60
413,"[3,4,4,6;3,6,4,4;3,4,6,4]",survived,wall,-1,1,0,8,166
414,"[3,4,4,6;3,4,6,4;3,6,4,4]",survived,wall,-1,3,0,8,434
415,"[3,4,4,6;3,4,6,4;3,6,4,4]",survived,wall,-1,3,0,10,522
416,"[3,4,4,6;3,4,6,4;3,6,4,4]",killed,entropy0,1,1,0,7,153
417,"[3,4,4,6;3,6,4,4;3,4,6,4]",survived,wall,-1,6,0,10,1219
418,"[3,4,4,6;3,4,6,4;3,6,4,4]",survived,wall,-1,5,0,12,1159
419,"[3,4,4,6;3,6,3,6;3,4,6,4]",survived,wall,-1,1,0,8,173
420,"[3,4,4,6;3,4,6,4;4,4,4,4]",survived,wall,-1,9,1,12,2987
421,"[3,4,4,6;4,4,4,4;3,4,6,4]",survived,wall,-1,10,0,12,4605
422,"[3,4,4,6;3,4,6,4;4,12,6]",survived,wall,-1,14,1,16,8142
423,"[3,4,4,6;3,4,6,4;4,12,6]",survived,budget,-1,16,3,15,11371
424,"[3,4,4,6;3,6,3,6;3,6,3,6]",survived,budget,-1,16,0,19,10146
425,"[3,4,4,6;3,6,3,6;3,6,3,6]",survived,budget,-1,16,0,19,10086
426,"[3,4,4,6;3,6,3,6;3,6,4,4]",survived,timecap,-1,15,0,25,11450
427,"[3,4,4,6;3,6,3,6;3,4,4,6]",survived,budget,-1,16,0,17,8903
428,"[3,4,4,6;3,6,3,6;3,6,4,4]",survived,budget,-1,16,0,17,8822
429,"[3,4,4,6;3,6,3,6;3,6,4,4]",survived,timecap,-1,15,0,25,11584
430,"[3,4,4,6;3,6,3,6;3,6,4,4]",survived,timecap,-1,16,0,18,10256
431,"[3,4,4,6;3,6,3,6;3,4,4,6]",survived,timecap,-1,16,0,18,10205
432,"[3,4,4,6;3,6,3,6;4,4,4,4]",survived,timecap,-1,16,0,18,10444
433,"[3,4,4,6;3,6,3,6;4,12,6]",survived,wall,-1,14,1,16,9039
434,"[3,4,4,6;4,4,4,4;3,6,4,4]",killed,entropy0,1,1,0,7,73
435,"[3,4,4,6;4,4,4,4;3,6,4,4]",killed,entropy0,2,2,0,9,224
436,"[3,4,4,6;4,4,4,4;3,4,4,6]",killed,entropy0,2,2,0,9,218
437,"[3,4,4,6;3,6,4,4;4,12,6]",killed,entropy0,1,1,1,6,101
438,"[3,4,4,6;4,4,4,4;4,4,4,4]",killed,entropy0,2,2,0,8,178
439,"[3,4,4,6;4,4,4,4;4,4,4,4]",killed,entropy0,2,2,0,9,200
440,"[3,4,4,6;4,4,4,4;4,4,4,4]",killed,entropy0,2,2,0,8,155
441,"[3,4,4,6;4,12,6;4,6,12]",killed,entropy0,2,2,0,6,115
442,"[3,4,4,6;4,12,6;4,6,12]",killed,entropy0,1,1,0,7,62
443,"[3,4,6,4;4,12,6;4,6,12]",survived,budget,-1,16,3,16,6362
444,"[3,4,6,4;4,12,6;4,6,12]",survived,wall,-1,11,1,14,2820
445,"[3,4,6,4;4,12,6;4,6,12]",survived,wall,-1,10,2,14,2807
446,"[3,4,6,4;3,4,6,4;4,12,6]",survived,wall,-1,10,2,14,2873
447,"[3,4,6,4;3,4,6,4;4,6,12]",survived,wall,-1,10,2,14,2855
448,"[3,4,6,4;3,4,6,4;4,6,12]",survived,wall,-1,13,2,16,5079
