idx,name,verdict,reason,killDepth,collapses,promotions,frontier,ms
115,"[3,3,3,3,6;3,3,3,4,4;3,3,4,3,4]",survived,wall,-1,8,0,17,4606
116,"[3,3,3,3,6;3,3,3,4,4;3,3,4,3,4]",killed,entropy0,3,3,0,9,774
117,"[3,3,3,3,6;3,3,3,4,4;3,3,4,3,4]",killed,entropy0,3,3,0,10,694
118,"[3,3,3,3,6;3,3,4,3,4;3,3,3,4,4]",killed,entropy0,4,4,0,11,1133
119,"[3,3,3,3,6;3,3,3,4,4;3,3,4,12]",killed,entropy0,1,1,0,6,189
120,"[3,3,3,3,6;3,3,3,4,4;3,3,12,4]",killed,entropy0,4,4,0,12,1141
121,"[3,3,3,3,6;3,3,3,4,4;3,3,12,4]",killed,entropy0,3,3,0,8,770
122,"[3,3,3,3,6;3,3,6,6;3,3,3,4,4]",killed,entropy0,2,2,0,7,321
123,"[3,3,3,3,6;3,3,6,6;3,3,3,4,4]",killed,entropy0,1,1,0,7,145
124,"[3,3,3,3,6;3,3,6,6;3,3,3,4,4]",killed,entropy0,2,2,0,7,312
125,"[3,3,3,3,6;3,6,4,4;3,3,3,4,4]",survived,wall,-1,1,0,9,214
126,"[3,3,3,3,6;3,6,4,4;3,3,3,4,4]",killed,entropy0,3,3,0,9,615
127,"[3,3,3,3,6;3,6,4,4;3,3,3,4,4]",survived,timecap,-1,14,0,18,11272
128,"[3,3,3,3,6;3,6,4,4;3,3,3,4,4]",killed,entropy0,3,3,0,9,692
129,"[3,3,3,3,6;3,6,4,4;3,3,3,4,4]",survived,wall,-1,2,0,10,483
130,"[3,3,3,3,6;3,3,3,4,4;3,4,4,6]",survived,wall,-1,4,0,10,1352
131,"[3,3,3,3,6;3,3,3,4,4;3,6,4,4]",survived,wall,-1,4,0,10,1360
132,"[3,3,3,3,6;3,3,3,4,4;3,4,4,6]",survived,wall,-1,4,0,12,1108
133,"[3,3,3,3,6;3,3,3,4,4;3,4,4,6]",survived,wall,-1,3,0,10,892
134,"[3,3,3,3,6;3,3,3,4,4;3,6,4,4]",survived,wall,-1,3,0,11,956
135,"[3,3,3,3,6;3,3,3,4,4;3,6,4,4]",survived,wall,-1,7,0,14,2909
136,"[3,3,3,3,6;3,3,3,4,4;3,4,4,6]",survived,wall,-1,4,0,11,1451
137,"[3,3,3,3,6;3,3,3,4,4;3,6,4,4]",survived,wall,-1,4,0,10,1581
138,"[3,3,3,3,6;3,6,3,6;3,3,3,4,4]",survived,timecap,-1,14,0,16,10623
139,"[3,3,3,3,6;3,6,3,6;3,3,3,4,4]",survived,timecap,-1,13,0,15,10102
140,"[3,3,3,3,6;3,3,3,4,4;3,4,6,4]",killed,entropy0,3,3,0,9,780
141,"[3,3,3,3,6;3,3,3,4,4;4,4,4,4]",killed,entropy0,3,3,0,9,973
142,"[3,3,3,3,6;3,3,3,4,4;4,4,4,4]",killed,entropy0,4,4,0,10,824
143,"[3,3,3,3,6;3,3,4,3,4;3,3,4,3,4]",killed,entropy0,1,1,0,9,199
144,"[3,3,3,3,6;3,3,4,3,4;3,3,4,3,4]",killed,entropy0,1,1,0,9,178
145,"[3,3,3,3,6;3,3,4,3,4;3,3,4,12]",killed,entropy0,1,1,0,9,304
146,"[3,3,3,3,6;3,6,4,4;3,3,4,3,4]",survived,wall,-1,9,0,16,6279
147,"[3,3,3,3,6;3,6,4,4;3,3,4,3,4]",survived,wall,-1,9,0,16,6222
148,"[3,3,3,3,6;3,6,4,4;3,3,4,3,4]",survived,wall,-1,9,0,16,6306
