idx,name,verdict,reason,killDepth,collapses,promotions,frontier,ms
48,"[3,3,3,3,3,3;3,3,3,4,4;3,3,3,4,4]",killed,entropy0,2,2,0,9,539
50,"[3,3,3,3,3,3;3,3,3,4,4;3,3,3,4,4]",killed,entropy0,2,2,0,9,599
126,"[3,3,3,3,6;3,6,4,4;3,3,3,4,4]",killed,entropy0,3,3,0,9,603
128,"[3,3,3,3,6;3,6,4,4;3,3,3,4,4]",killed,entropy0,3,3,0,9,689
