seed;latticeKey;hol;areaKey;detFloat;cVerdict;fillMs;rawCells;solveRawCells
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,0,0,0,0#1|-4,0,0,0,8,0,0,0;4;0,0,4,0,1;6.9282;1;9.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-8,0,0,0,4,0,0,0#1|0,0,0,0,-1,0,0,0;4;0,0,4,0,1;6.9282;1;0.3;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,1,0,0,0#1|-4,0,0,0,-4,0,0,0;4;0,0,4,0,1;6.9282;1;0.3;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,0,0,0,0#1|-2,0,0,0,4,0,0,0;4;0,0,4,0,1;6.9282;1;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,0,0,0,0#1|-3,0,0,0,4,0,0,0;4;0,0,4,0,1;6.9282;1;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,-1,0,0,0#1|-4,0,0,0,4,0,0,0;4;0,0,4,0,1;6.9282;1;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,1,0,0,0#1|0,0,0,0,-4,0,0,0;4;0,0,4,0,1;6.9282;1;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-4,0,0,0,2,0,0,0#1|0,0,0,0,-2,0,0,0;4;0,0,4,0,1;6.9282;1;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-4,0,0,0,3,0,0,0#1|0,0,0,0,-2,0,0,0;4;0,0,4,0,1;6.9282;1;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,2,0,0,0#1|-4,0,0,0,0,0,0,0;4;0,0,4,0,1;6.9282;1;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,-2,0,0,0#1|-2,0,0,0,2,0,0,0;4;0,0,4,0,1;6.9282;1;1.8;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,2,0,0,0#1|-3,0,0,0,-1,0,0,0;4;0,0,4,0,1;6.9282;1;1.7;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,-2,0,0,0#1|-3,0,0,0,2,0,0,0;4;0,0,4,0,1;6.9282;1;1.1;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,3,0,0,0#1|-3,0,0,0,1,0,0,0;4;0,0,4,0,1;6.9282;1;13.7;1;1
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,-1,0,0,0#1|-2,0,0,0,3,0,0,0;4;0,0,4,0,1;6.9282;1;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-3,0,0,0,0,0,0,0#1|-3,0,0,0,3,0,0,0;12;0,0,9,0,2;7.7942;1;10.8;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,-1,0,0,0#1|-5,0,0,0,4,0,0,0;4;0,0,9,0,2;7.7942;1;0.9;0;0
