k,solve_s,prune_s,total_s,solve_mean,prune_mean,raw_blocks,kept_at_k,kept_total
1,0.0040,0.0028,0.0068,0.0753,0.0383,11,10,10
2,0.0193,0.0030,0.0223,0.0960,0.0033,35,20,30
3,0.1091,0.0042,0.1133,0.2126,0.0046,124,61,91
4,0.4336,0.0085,0.4422,0.5775,0.0103,427,151,242
5,1.4183,0.0225,1.4408,1.5151,0.0226,1162,332,574
6,3.7475,0.0535,3.8010,3.8977,0.0538,2775,673,1247
