k,lattice,X,Y,maxwt,prov
3,hex,38,20,9,"(12, ((12, (3, 12, 12)), (12, (4, 6, 12)), (12, (4, 6, 12))))"
3,hex,44,14,10,"(12, ((12, (3, 12, 12)), (12, (4, 6, 12)), (12, (6, 6, 6))))"
3,hex,42,12,9,"(12, ((12, (4, 6, 12)), (12, (4, 6, 12)), (12, (6, 6, 6))))"
3,hex,48,6,10,"(12, ((12, (4, 6, 12)), (12, (6, 6, 6)), (12, (6, 6, 6))))"
3,hex,1,0,1,"('rigid uniform', ())"
3,hex,3,0,2,"('rigid uniform', ())"
3,square,2,1,2,"(2, ((2, (3, 3, 3, 4, 4)), (2, (3, 3, 3, 4, 4))))"
3,square,4,1,3,"(2, ((2, (3, 3, 3, 4, 4)), (2, (3, 3, 3, 4, 4)), (2, (4, 4, 4, 4))))"
3,square,4,2,3,"(4, ((4, (3, 3, 3, 4, 4)), (4, (3, 3, 3, 4, 4))))"
3,square,7,4,4,"(4, ((4, (3, 3, 4, 12)), (4, (3, 12, 12))))"
3,square,5,2,3,"(4, ((1, (4, 4, 4, 4)), (4, (3, 3, 3, 4, 4)), (4, (3, 3, 3, 4, 4))))"
3,square,8,4,4,"(4, ((1, (4, 4, 4, 4)), (4, (3, 3, 4, 12)), (4, (3, 12, 12))))"
3,square,7,2,4,"(4, ((2, (3, 4, 4, 6)), (4, (3, 4, 4, 6)), (4, (4, 4, 4, 4))))"
3,square,8,1,4,"(4, ((2, (4, 4, 4, 4)), (4, (3, 3, 3, 4, 4)), (4, (4, 4, 4, 4))))"
3,square,6,3,4,"(4, ((4, (3, 3, 3, 3, 3, 3)), (4, (3, 3, 3, 4, 4)), (4, (4, 4, 4, 4))))"
3,square,8,2,4,"(4, ((4, (3, 3, 3, 4, 4)), (4, (3, 3, 3, 4, 4)), (4, (4, 4, 4, 4))))"
3,square,10,1,5,"(4, ((4, (3, 3, 3, 4, 4)), (4, (4, 4, 4, 4)), (4, (4, 4, 4, 4))))"
3,square,11,4,5,"(4, ((4, (3, 3, 4, 12)), (4, (3, 12, 12)), (4, (4, 4, 4, 4))))"
3,square,14,8,6,"(8, ((8, (3, 3, 4, 12)), (8, (3, 12, 12))))"
3,square,10,5,5,"(8, ((1, (4, 4, 4, 4)), (4, (3, 3, 4, 12)), (8, (3, 3, 4, 12))))"
3,square,13,2,5,"(8, ((1, (4, 4, 4, 4)), (8, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,8,3,4,"(8, ((2, (3, 3, 3, 3, 3, 3)), (4, (4, 4, 4, 4)), (8, (3, 3, 3, 4, 4))))"
3,square,12,3,5,"(8, ((2, (3, 3, 3, 3, 3, 3)), (8, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,11,2,5,"(8, ((2, (3, 4, 4, 6)), (4, (3, 4, 4, 6)), (8, (4, 4, 4, 4))))"
3,square,11,6,5,"(8, ((2, (4, 4, 4, 4)), (4, (4, 6, 12)), (8, (4, 6, 12))))"
3,square,10,4,5,"(8, ((2, (4, 4, 4, 4)), (8, (3, 3, 3, 4, 4)), (8, (3, 3, 3, 4, 4))))"
3,square,16,8,6,"(8, ((2, (4, 4, 4, 4)), (8, (3, 3, 4, 12)), (8, (3, 12, 12))))"
3,square,10,3,4,"(8, ((4, (3, 3, 3, 3, 3, 3)), (4, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,14,1,5,"(8, ((4, (3, 3, 3, 4, 4)), (4, (4, 4, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,14,3,6,"(8, ((4, (3, 3, 3, 4, 4)), (8, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,16,9,6,"(8, ((4, (3, 3, 3, 4, 4)), (8, (3, 3, 4, 12)), (8, (3, 12, 12))))"
3,square,14,4,5,"(8, ((4, (3, 4, 4, 6)), (8, (3, 4, 4, 6)), (8, (4, 4, 4, 4))))"
3,square,13,6,5,"(8, ((4, (4, 4, 4, 4)), (4, (4, 6, 12)), (8, (4, 6, 12))))"
3,square,16,2,6,"(8, ((4, (4, 4, 4, 4)), (8, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,17,6,6,"(8, ((4, (4, 6, 12)), (8, (4, 4, 4, 4)), (8, (4, 6, 12))))"
3,square,12,6,5,"(8, ((8, (3, 3, 3, 3, 3, 3)), (8, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,16,4,6,"(8, ((8, (3, 3, 3, 4, 4)), (8, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,20,2,6,"(8, ((8, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4)), (8, (4, 4, 4, 4))))"
3,square,22,8,7,"(8, ((8, (3, 3, 4, 12)), (8, (3, 12, 12)), (8, (4, 4, 4, 4))))"
3,square,1,0,1,"('rigid uniform', ())"
