id,k,lattice,group,orbifold
ctrnact-12_346-4e2_4j2_5b4_5d2_6j2-12,12,rectangular,pmg,22*
ctrnact-12_346-4e2_4j2_5b4_5d2_6j2-2,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j2_5b4_5d2_6j2-4,12,rectangular,pmg,22*
ctrnact-12_346-4e2_4j4_4k2_5b4-10,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j4_4k2_5b4-11,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j4_4k2_5b4-2,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j4_4k2_5b4-3,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j4_4k4_5b2-1,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j4_4k4_5b2-10,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j4_4k4_5b2-3,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j4_4k4_5b2-9,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j5_4k2_4u_5b2-2,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j5_4k2_4u_5b2-6,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j6_4k2_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4e2_4j6_4k2_5d2-5,12,rectangular,pgg,22×
ctrnact-12_346-4e3_4i_4j2_4k2_5b2_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4e3_4i_4j2_4k2_5b2_5d2-3,12,rectangular,pmg,22*
ctrnact-12_346-4e3_4i_4j2_4k2_5b2_5d2-5,12,rectangular,pmg,22*
ctrnact-12_346-4e3_4i_4j2_4k2_5b2_5d2-7,12,rectangular,pmg,22*
ctrnact-12_346-4e3_4j3_4k2_5b4-1,12,rectangular,pgg,22×
ctrnact-12_346-4e3_4j3_4k2_5b4-12,12,rectangular,pmg,22*
ctrnact-12_346-4e3_4j3_4k2_5b4-4,12,rectangular,pmg,22*
ctrnact-12_346-4e3_4j3_4k2_5b4-9,12,rectangular,pgg,22×
ctrnact-12_346-4e4_4j3_4k2_4u_5b2-2,12,rectangular,pgg,22×
ctrnact-12_346-4e4_4j4_4k2_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4e_4i_4j2_4k4_5b4-1,12,rectangular,pmg,22*
ctrnact-12_346-4e_4i_4j2_4k4_5b4-3,12,rectangular,pmg,22*
ctrnact-12_346-4e_4i_4j2_4k4_5b4-5,12,rectangular,pmg,22*
ctrnact-12_346-4e_4i_4j2_4k4_5b4-6,12,rectangular,pmg,22*
ctrnact-12_346-4e_4i_4j4_4k2_5b2_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4e_4i_4j4_4k2_5b2_5d2-3,12,rectangular,pmg,22*
ctrnact-12_346-4e_4i_4j4_4k2_5b2_5d2-5,12,rectangular,pmg,22*
ctrnact-12_346-4e_4i_4j4_4k2_5b2_5d2-7,12,rectangular,pmg,22*
ctrnact-12_346-4e_4j2_4k2_4u3_5b4-2,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j2_4k2_5b4_5d2_6j-10,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j2_4k2_5b4_5d2_6j-2,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j2_4k2_5b4_5d2_6j-6,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j2_4k4_4u_5b2_5d2-2,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j2_4k4_4u_5b2_5d2-6,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j2_4u_5b6_5d2-2,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j3_4k2_4u2_5b2_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j3_4k2_4u2_5b2_5d2-3,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j3_4k4_5d4-1,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j5_4k2_5b4-1,12,rectangular,pgg,22×
ctrnact-12_346-4e_4j5_4k2_5b4-12,12,rectangular,pmg,22*
